"K","M","d","D","e","t","time","n50","largest","brm_paired","rba_result"
21,0,0,0,2,2,55.178896051,168,1883,28782,784
21,0,0,0,2,7,53.366695678,168,1883,28782,783
21,0,0,0,2,12,55.30227225,168,1883,28782,784
21,0,0,0,7,2,53.316936596,207,1639,16239,140
21,0,0,0,7,7,50.964569544,207,1639,16239,140
21,0,0,0,7,12,54.6275142,207,1639,16239,140
21,0,0,0,12,2,49.053194451,192,1556,12898,94
21,0,0,0,12,7,54.265587078,192,1556,12898,94
21,0,0,0,12,12,50.716446454,192,1556,12898,94
21,0,0,0,2,2,53.698815864,168,1883,28782,784
21,0,0,0,2,7,53.829880508,168,1883,28782,784
21,0,0,0,2,12,52.873897628,168,1883,28782,784
21,0,0,0,7,2,49.545780685,207,1639,16239,140
21,0,0,0,7,7,48.554458184,207,1639,16239,140
21,0,0,0,7,12,52.024189212,207,1639,16239,140
21,0,0,0,12,2,51.725756953,192,1556,12898,93
21,0,0,0,12,7,50.349087879,192,1556,12898,94
21,0,0,0,12,12,50.066447534,192,1556,12898,94
21,0,0,0,2,2,47.448157819,168,1883,28782,784
21,0,0,0,2,7,49.782005422,168,1883,28782,783
21,0,0,0,2,12,53.678624137,168,1883,28782,784
21,0,0,0,7,2,51.986406639,207,1639,16239,140
21,0,0,0,7,7,50.674434153,207,1639,16239,140
21,0,0,0,7,12,52.187307432,207,1639,16239,140
21,0,0,0,12,2,47.684887341,192,1556,12898,94
21,0,0,0,12,7,48.40790844,192,1556,12898,94
21,0,0,0,12,12,50.496186652,192,1556,12898,94
21,0,0,2,2,2,52.799256259,168,1883,28782,783
21,0,0,2,2,7,51.383752122,168,1883,28782,784
21,0,0,2,2,12,51.179810191,168,1883,28782,784
21,0,0,2,7,2,49.167553639,207,1639,16239,141
21,0,0,2,7,7,45.656999316,207,1639,16239,140
21,0,0,2,7,12,48.666887967,207,1639,16239,140
21,0,0,2,12,2,48.862399991,192,1556,12898,94
21,0,0,2,12,7,50.883399838,192,1556,12898,94
21,0,0,2,12,12,50.402006143,192,1556,12898,94
21,0,0,2,2,2,48.340826587,168,1883,28782,784
21,0,0,2,2,7,49.720146906,168,1883,28782,784
21,0,0,2,2,12,49.749817751,168,1883,28782,784
21,0,0,2,7,2,49.480648144,207,1639,16239,140
21,0,0,2,7,7,48.992766171,207,1639,16239,140
21,0,0,2,7,12,49.926229377,207,1639,16239,140
21,0,0,2,12,2,48.042999823,192,1556,12898,94
21,0,0,2,12,7,47.193418347,192,1556,12898,93
21,0,0,2,12,12,49.798458677,192,1556,12898,94
21,0,0,2,2,2,48.866738376,168,1883,28782,792
21,0,0,2,2,7,51.676852737,168,1883,28782,784
21,0,0,2,2,12,48.65400614,168,1883,28782,784
21,0,0,2,7,2,47.442635457,207,1639,16239,140
21,0,0,2,7,7,47.17488029,207,1639,16239,140
21,0,0,2,7,12,49.741961742,207,1639,16239,140
21,0,0,2,12,2,48.475716638,192,1556,12898,94
21,0,0,2,12,7,49.686632585,192,1556,12898,94
21,0,0,2,12,12,48.899190975,192,1556,12898,95
21,0,0,4,2,2,47.956105208,168,1883,28782,784
21,0,0,4,2,7,49.75100092,168,1883,28782,784
21,0,0,4,2,12,51.061217623,168,1883,28782,784
21,0,0,4,7,2,49.032399836,207,1639,16239,140
21,0,0,4,7,7,48.52291341,207,1639,16239,140
21,0,0,4,7,12,48.743856625,207,1639,16239,140
21,0,0,4,12,2,47.164869825,192,1556,12898,94
21,0,0,4,12,7,47.139333547,192,1556,12898,93
21,0,0,4,12,12,48.467203584,192,1556,12898,94
21,0,0,4,2,2,49.844448186,168,1883,28782,784
21,0,0,4,2,7,51.966124632,168,1883,28782,784
21,0,0,4,2,12,52.262412414,168,1883,28782,783
21,0,0,4,7,2,49.278819443,207,1639,16239,140
21,0,0,4,7,7,47.110229513,207,1639,16239,140
21,0,0,4,7,12,48.38044515,207,1639,16239,140
21,0,0,4,12,2,48.188184284,192,1556,12898,94
21,0,0,4,12,7,50.517726779,192,1556,12898,94
21,0,0,4,12,12,49.807235319,192,1556,12898,94
21,0,0,4,2,2,49.018120823,168,1883,28782,784
21,0,0,4,2,7,47.256540748,168,1883,28782,784
21,0,0,4,2,12,47.321066695,168,1883,28782,784
21,0,0,4,7,2,48.955077398,207,1639,16239,140
21,0,0,4,7,7,49.875660839,207,1639,16239,141
21,0,0,4,7,12,48.364716248,207,1639,16239,140
21,0,0,4,12,2,47.851726092,192,1556,12898,94
21,0,0,4,12,7,47.725674259,192,1556,12898,93
21,0,0,4,12,12,45.965274863,192,1556,12898,94
21,0,0,6,2,2,48.952367713,168,1883,28782,784
21,0,0,6,2,7,51.353178715,168,1883,28782,784
21,0,0,6,2,12,50.443178677,168,1883,28782,784
21,0,0,6,7,2,48.178576369,207,1639,16239,140
21,0,0,6,7,7,45.728812058,207,1639,16239,140
21,0,0,6,7,12,48.048241261,207,1639,16239,140
21,0,0,6,12,2,48.516184618,192,1556,12898,94
21,0,0,6,12,7,49.458391323,192,1556,12898,94
21,0,0,6,12,12,49.695716413,192,1556,12898,94
21,0,0,6,2,2,48.802948795,168,1883,28782,784
21,0,0,6,2,7,49.013317351,168,1883,28782,784
