runid,iterid,K,M,d,D,e,t,hood_no,score
1,1,37,0,2,2,12,2,1,447
1,2,37,0,2,2,12,2,1,447
1,3,37,0,2,2,12,2,1,447
1,4,37,0,2,2,12,2,1,447
1,5,29,0,2,0,12,2,1,545
1,6,29,0,2,0,12,2,1,545
1,7,29,0,2,0,12,2,1,545
1,8,29,0,2,0,12,2,1,545
1,9,29,0,2,0,12,2,1,545
1,10,29,0,2,0,12,2,1,545
2,1,37,3,2,0,12,12,1,433
2,2,37,3,2,0,12,12,1,433
2,3,37,3,2,0,12,12,1,433
2,4,37,3,2,0,12,12,1,433
2,5,37,3,2,0,12,12,1,433
2,6,37,3,2,0,12,12,1,433
2,7,29,3,2,0,12,12,1,545
2,8,29,3,2,0,12,12,1,545
2,9,29,3,2,0,12,12,1,545
2,10,29,3,2,0,12,12,1,545
