@max_hood_size,@starting_sd_divisor,@sd_increment_proportion,@backtrack_cutoff,mopt_iter
100,40,0.2,3,727
100,40,0.2,3,319
100,40,0.2,3,154
100,40,0.2,3,467
100,40,0.2,3,260
100,40,0.2,3,960
100,40,0.2,3,472
100,40,0.2,3,791
100,40,0.2,3,520
100,40,0.2,3,945
100,40,0.2,2.5,384
100,40,0.2,2.5,456
100,40,0.2,2.5,565
100,40,0.2,2.5,895
100,40,0.2,2.5,354
100,40,0.2,2.5,58
100,40,0.2,2.5,487
100,40,0.2,2.5,978
100,40,0.2,2.5,494
100,40,0.2,2,777
100,40,0.2,2,331
100,40,0.2,2,353
100,40,0.2,2,455
100,40,0.2,2,163
100,40,0.2,2,222
100,40,0.2,2,641
100,40,0.2,2,542
100,40,0.2,2,749
100,40,0.2,2,663
100,40,0.2,1.5,784
100,40,0.2,1.5,548
100,40,0.2,1.5,592
100,40,0.2,1.5,468
100,40,0.2,1.5,678
100,40,0.2,1.5,331
100,40,0.2,1.5,52
100,40,0.2,1.5,170
100,40,0.2,1.5,408
100,40,0.2,1.5,552
100,40,0.15,3,656
100,40,0.15,3,421
100,40,0.15,3,611
100,40,0.15,3,23
100,40,0.15,3,778
100,40,0.15,3,395
100,40,0.15,3,555
100,40,0.15,3,633
100,40,0.15,3,607
100,40,0.15,3,361
100,40,0.15,2.5,754
100,40,0.15,2.5,988
100,40,0.15,2.5,774
100,40,0.15,2.5,462
100,40,0.15,2.5,401
100,40,0.15,2.5,356
100,40,0.15,2.5,601
100,40,0.15,2.5,357
100,40,0.15,2.5,740
100,40,0.15,2,944
100,40,0.15,2,54
100,40,0.15,2,472
100,40,0.15,2,313
100,40,0.15,2,358
100,40,0.15,2,350
100,40,0.15,2,773
100,40,0.15,2,540
100,40,0.15,2,53
100,40,0.15,2,471
100,40,0.15,1.5,748
100,40,0.15,1.5,470
100,40,0.15,1.5,960
100,40,0.15,1.5,456
100,40,0.15,1.5,56
100,40,0.15,1.5,57
100,40,0.15,1.5,667
100,40,0.15,1.5,814
100,40,0.15,1.5,152
100,40,0.15,1.5,554
100,40,0.1,3,117
100,40,0.1,3,827
100,40,0.1,3,365
100,40,0.1,3,718
100,40,0.1,3,54
100,40,0.1,3,856
100,40,0.1,3,357
100,40,0.1,3,369
100,40,0.1,3,319
100,40,0.1,3,895
100,40,0.1,2.5,536
100,40,0.1,2.5,656
100,40,0.1,2.5,654
100,40,0.1,2.5,272
100,40,0.1,2.5,652
100,40,0.1,2.5,364
100,40,0.1,2.5,636
100,40,0.1,2.5,488
100,40,0.1,2.5,967
100,40,0.1,2,893
100,40,0.1,2,526
100,40,0.1,2,507
100,40,0.1,2,926
100,40,0.1,2,478
100,40,0.1,2,180
100,40,0.1,2,469
100,40,0.1,2,609
100,40,0.1,2,564
100,40,0.1,2,296
100,40,0.1,1.5,423
100,40,0.1,1.5,437
100,40,0.1,1.5,756
100,40,0.1,1.5,666
100,40,0.1,1.5,390
100,40,0.1,1.5,715
100,40,0.1,1.5,52
100,40,0.1,1.5,702
100,40,0.1,1.5,591
100,40,0.1,1.5,57
100,40,0.05,3,970
100,40,0.05,3,693
100,40,0.05,3,355
100,40,0.05,3,643
100,40,0.05,3,782
100,40,0.05,3,768
100,40,0.05,3,431
100,40,0.05,3,428
100,40,0.05,3,892
100,40,0.05,2.5,572
100,40,0.05,2.5,758
100,40,0.05,2.5,150
100,40,0.05,2.5,442
100,40,0.05,2.5,716
100,40,0.05,2.5,759
100,40,0.05,2.5,735
100,40,0.05,2.5,55
100,40,0.05,2.5,453
100,40,0.05,2.5,751
100,40,0.05,2,766
100,40,0.05,2,452
100,40,0.05,2,659
100,40,0.05,2,500
100,40,0.05,2,867
100,40,0.05,2,718
100,40,0.05,2,981
100,40,0.05,2,973
100,40,0.05,2,155
100,40,0.05,2,655
100,40,0.05,1.5,572
100,40,0.05,1.5,592
100,40,0.05,1.5,339
100,40,0.05,1.5,457
100,40,0.05,1.5,316
100,40,0.05,1.5,656
100,40,0.05,1.5,401
100,40,0.05,1.5,580
100,40,0.05,1.5,565
100,40,0.01,3,426
100,40,0.01,3,357
100,40,0.01,3,858
100,40,0.01,3,25
100,40,0.01,3,886
100,40,0.01,3,934
100,40,0.01,3,758
100,40,0.01,3,763
100,40,0.01,3,718
100,40,0.01,3,613
100,40,0.01,2.5,742
100,40,0.01,2.5,895
100,40,0.01,2.5,400
100,40,0.01,2.5,874
100,40,0.01,2.5,709
100,40,0.01,2.5,597
100,40,0.01,2.5,953
100,40,0.01,2.5,759
100,40,0.01,2.5,556
100,40,0.01,2,641
100,40,0.01,2,462
100,40,0.01,2,977
100,40,0.01,2,453
100,40,0.01,2,701
100,40,0.01,2,629
100,40,0.01,2,9
100,40,0.01,2,805
100,40,0.01,2,467
100,40,0.01,2,697
100,40,0.01,1.5,339
100,40,0.01,1.5,864
100,40,0.01,1.5,909
100,40,0.01,1.5,952
100,40,0.01,1.5,901
100,40,0.01,1.5,367
100,40,0.01,1.5,599
100,30,0.2,3,84
100,30,0.2,3,60
100,30,0.2,3,400
100,30,0.2,3,166
100,30,0.2,3,760
100,30,0.2,3,302
100,30,0.2,3,488
100,30,0.2,3,123
100,30,0.2,3,619
100,30,0.2,3,673
100,30,0.2,2.5,468
100,30,0.2,2.5,130
100,30,0.2,2.5,571
100,30,0.2,2.5,926
100,30,0.2,2.5,758
100,30,0.2,2.5,401
100,30,0.2,2.5,561
100,30,0.2,2.5,153
100,30,0.2,2.5,676
100,30,0.2,2,670
100,30,0.2,2,714
100,30,0.2,2,723
100,30,0.2,2,664
100,30,0.2,2,407
100,30,0.2,2,876
100,30,0.2,2,659
100,30,0.2,2,359
100,30,0.2,2,516
100,30,0.2,1.5,757
100,30,0.2,1.5,757
100,30,0.2,1.5,489
100,30,0.2,1.5,382
100,30,0.2,1.5,678
100,30,0.2,1.5,567
100,30,0.2,1.5,6
100,30,0.2,1.5,691
100,30,0.2,1.5,152
100,30,0.2,1.5,542
100,30,0.15,3,297
100,30,0.15,3,460
100,30,0.15,3,477
