"runid","iterid","K","M","d","D","e","t","hood_no","score"
1,1,37,2,2,0,7,2,1,19487
1,2,37,2,2,0,7,2,1,19487
1,3,29,2,2,0,2,2,1,24133
1,4,29,2,2,0,2,2,1,24133
1,5,29,2,2,0,2,2,1,24133
1,6,29,2,2,0,2,2,1,24133
1,7,29,2,2,0,2,2,1,24133
1,8,29,2,2,0,2,2,1,24133
1,9,29,2,2,0,2,2,1,24133
1,10,29,2,2,0,2,2,1,24133
1,11,29,2,2,0,2,2,1,24133
1,12,29,2,2,0,2,2,1,24133
1,13,29,2,2,0,2,2,1,24133
1,14,29,2,2,0,2,2,1,24133
1,15,29,2,2,0,2,2,1,24133
1,16,29,2,2,0,2,2,1,24133
1,17,29,2,2,0,2,2,1,24133
1,18,29,2,2,0,2,2,1,24133
1,19,29,2,2,0,2,2,1,24133
1,20,29,1,0,0,2,2,1,33215
1,21,29,1,0,0,2,2,1,33215
1,22,29,1,0,0,2,2,1,33215
1,23,29,1,0,0,2,2,1,33215
1,24,29,1,0,0,2,2,1,33215
1,25,29,1,0,0,2,2,1,33215
1,26,29,1,0,0,2,2,1,33215
1,27,29,1,0,0,2,2,1,33215
1,28,29,1,0,0,2,2,1,33215
1,29,29,1,0,0,2,2,1,33215
1,30,29,1,0,0,2,2,1,33215
1,31,29,1,0,0,2,2,1,33215
1,32,29,1,0,0,2,2,1,33215
1,33,29,1,0,0,2,2,1,33215
1,34,29,1,0,0,2,2,1,33215
1,35,29,1,0,0,2,2,1,33215
1,36,29,2,0,0,2,2,1,34096
1,37,29,2,0,0,2,2,1,34096
1,38,29,2,0,0,2,2,1,34096
1,39,29,2,0,0,2,2,1,34096
1,40,29,2,0,0,2,2,1,34096
1,41,29,2,0,0,2,2,1,34096
1,42,29,2,0,0,2,2,1,34096
1,43,29,2,0,0,2,2,1,34096
1,44,29,2,0,0,2,2,1,34096
1,45,29,2,0,0,2,2,1,34096
1,46,29,2,0,0,2,2,1,34096
1,47,29,2,0,0,2,2,1,34096
1,48,29,2,0,0,2,2,1,34096
1,49,29,2,0,0,2,2,1,34096
1,50,29,2,0,0,2,2,2,34096
1,51,29,2,0,0,2,2,2,34096
1,52,29,2,0,0,2,2,2,34096
1,53,29,2,0,0,2,2,2,34096
1,54,29,2,0,0,2,2,2,34096
1,55,29,2,0,0,2,2,3,34096
1,56,29,2,0,0,2,2,3,34096
1,57,29,2,0,0,2,2,3,34096
1,58,29,2,0,0,2,2,3,34096
1,59,29,2,0,0,2,2,3,34096
1,60,29,2,0,0,2,2,4,34096
1,61,29,2,0,0,2,2,4,34096
1,62,29,2,0,0,2,2,4,34096
1,63,29,2,0,0,2,2,4,34096
1,64,29,2,0,0,2,2,4,34096
1,65,29,2,0,0,2,2,5,34096
1,66,29,2,0,0,2,2,5,34096
1,67,29,2,0,0,2,2,5,34096
1,68,29,2,0,0,2,2,5,34096
1,69,29,2,0,0,2,2,5,34096
