"K","M","d","D","e","t","n50"
37,2,0,0,2,2,191
37,2,0,0,2,7,191
37,2,0,0,2,12,191
37,2,0,0,7,2,393
37,2,0,0,7,7,393
37,2,0,0,7,12,393
37,2,0,0,12,2,256
37,2,0,0,12,7,256
37,2,0,0,12,12,256
37,2,0,0,2,2,191
37,2,0,0,2,7,191
37,2,0,0,2,12,191
37,2,0,0,7,2,393
37,2,0,0,7,7,393
37,2,0,0,7,12,393
37,2,0,0,12,2,256
37,2,0,0,12,7,256
37,2,0,0,12,12,256
37,2,0,0,2,2,191
37,2,0,0,2,7,191
37,2,0,0,2,12,191
37,2,0,0,7,2,393
37,2,0,0,7,7,393
37,2,0,0,7,12,393
37,2,0,0,12,2,256
37,2,0,0,12,7,256
37,2,0,0,12,12,256
37,2,0,2,2,2,191
37,2,0,2,2,7,191
37,2,0,2,2,12,191
37,2,0,2,7,2,393
37,2,0,2,7,7,393
37,2,0,2,7,12,393
37,2,0,2,12,2,256
37,2,0,2,12,7,256
37,2,0,2,12,12,256
37,2,0,2,2,2,191
37,2,0,2,2,7,191
37,2,0,2,2,12,191
37,2,0,2,7,2,393
37,2,0,2,7,7,393
37,2,0,2,7,12,393
37,2,0,2,12,2,256
37,2,0,2,12,7,256
37,2,0,2,12,12,256
37,2,0,2,2,2,191
37,2,0,2,2,7,191
37,2,0,2,2,12,191
37,2,0,2,7,2,393
37,2,0,2,7,7,393
37,2,0,2,7,12,393
37,2,0,2,12,2,256
37,2,0,2,12,7,256
37,2,0,2,12,12,256
37,2,0,4,2,2,191
37,2,0,4,2,7,191
37,2,0,4,2,12,191
37,2,0,4,7,2,393
37,2,0,4,7,7,393
37,2,0,4,7,12,393
37,2,0,4,12,2,256
37,2,0,4,12,7,256
37,2,0,4,12,12,256
37,2,0,4,2,2,191
37,2,0,4,2,7,191
37,2,0,4,2,12,191
37,2,0,4,7,2,393
37,2,0,4,7,7,393
37,2,0,4,7,12,393
37,2,0,4,12,2,256
37,2,0,4,12,7,256
37,2,0,4,12,12,256
37,2,0,4,2,2,191
37,2,0,4,2,7,191
37,2,0,4,2,12,191
37,2,0,4,7,2,393
37,2,0,4,7,7,393
37,2,0,4,7,12,393
37,2,0,4,12,2,256
37,2,0,4,12,7,256
37,2,0,4,12,12,256
37,2,0,6,2,2,191
37,2,0,6,2,7,191
37,2,0,6,2,12,191
37,2,0,6,7,2,393
37,2,0,6,7,7,393
37,2,0,6,7,12,393
37,2,0,6,12,2,256
37,2,0,6,12,7,256
37,2,0,6,12,12,256
37,2,0,6,2,2,191
37,2,0,6,2,7,191
37,2,0,6,2,12,191
37,2,0,6,7,2,393
37,2,0,6,7,7,393
37,2,0,6,7,12,393
37,2,0,6,12,2,256
37,2,0,6,12,7,256
37,2,0,6,12,12,256
37,2,0,6,2,2,191
37,2,0,6,2,7,191
37,2,0,6,2,12,191
37,2,0,6,7,2,393
37,2,0,6,7,7,393
37,2,0,6,7,12,393
37,2,0,6,12,2,256
37,2,0,6,12,7,256
37,2,0,6,12,12,256
37,2,2,0,2,2,167
37,2,2,0,2,7,167
37,2,2,0,2,12,167
37,2,2,0,7,2,237
37,2,2,0,7,7,237
37,2,2,0,7,12,237
37,2,2,0,12,2,433
37,2,2,0,12,7,433
37,2,2,0,12,12,433
37,2,2,0,2,2,167
37,2,2,0,2,7,167
37,2,2,0,2,12,167
37,2,2,0,7,2,237
37,2,2,0,7,7,237
37,2,2,0,7,12,237
37,2,2,0,12,2,433
37,2,2,0,12,7,433
37,2,2,0,12,12,433
37,2,2,0,2,2,167
37,2,2,0,2,7,167
37,2,2,0,2,12,167
37,2,2,0,7,2,237
37,2,2,0,7,7,237
37,2,2,0,7,12,237
37,2,2,0,12,2,433
37,2,2,0,12,7,433
37,2,2,0,12,12,433
37,2,2,2,2,2,167
37,2,2,2,2,7,167
37,2,2,2,2,12,167
37,2,2,2,7,2,237
37,2,2,2,7,7,237
37,2,2,2,7,12,237
37,2,2,2,12,2,433
37,2,2,2,12,7,433
