a,b,c,hood_no,score
1,87,25,1,17240
1,89,27,1,18264
1,89,27,1,18264
1,89,27,1,18264
1,89,27,1,18264
1,89,27,1,18264
1,89,27,1,18264
1,89,27,1,18264
4,90,24,1,18720
4,90,24,1,18720
4,90,24,1,18720
4,90,24,1,18720
4,90,24,1,18720
4,90,24,1,18720
4,90,24,1,18720
4,90,24,1,18720
4,90,24,1,18720
4,90,24,1,18720
4,90,24,1,18720
4,90,24,1,18720
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,1,21730
8,95,26,2,21730
8,95,26,2,21730
9,98,28,2,23479
9,98,28,2,23479
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,2,24949
14,100,25,3,24949
14,100,25,3,24949
14,100,25,3,24949
14,100,25,3,24949
18,98,26,3,25176
18,98,26,3,25176
18,98,26,3,25176
18,98,26,3,25176
18,98,26,3,25176
18,98,26,3,25176
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,3,27600
25,100,25,4,27600
25,100,25,4,27600
25,100,25,4,27600
27,100,26,4,28263
27,100,26,4,28263
27,100,26,4,28263
27,100,26,4,28263
27,100,26,4,28263
27,100,26,4,28263
27,100,26,4,28263
30,100,26,4,29040
30,100,26,4,29040
30,100,26,4,29040
30,100,26,4,29040
30,100,26,4,29040
30,100,26,4,29040
30,100,26,4,29040
30,100,26,4,29040
30,100,26,4,29040
30,100,26,4,29040
30,100,26,4,29040
30,100,26,4,29040
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,4,29148
31,100,25,5,29148
31,100,25,5,29148
34,100,25,5,29949
34,100,25,5,29949
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,5,30265
34,100,27,6,30265
34,100,27,6,30265
34,100,27,6,30265
34,100,27,6,30265
34,100,27,6,30265
34,100,27,6,30265
34,100,27,6,30265
34,100,27,6,30265
34,100,27,6,30265
34,100,27,6,30265
34,100,27,6,30265
34,100,27,6,30265
34,100,27,6,30265
34,100,27,6,30265
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
37,100,29,6,31424
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,6,32088
40,100,28,7,32088
40,100,28,7,32088
43,99,28,7,32459
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
44,100,28,7,33232
