runid,iterid,K,M,d,D,e,t,generation_no,score,homogenity
1,25,45,2,0,0,12,7,1,298,0.41444444444444445
1,25,45,2,0,0,12,7,2,298,0.41444444444444445
1,37,45,2,0,0,12,7,3,298,0.5555555555555556
1,46,45,2,0,0,12,7,4,298,0.8266666666666667
1,47,45,2,0,0,12,7,5,298,0.9444444444444444
1,47,45,2,0,0,12,7,6,298,0.9188888888888889
1,48,45,2,0,0,12,7,7,298,0.9322222222222222
1,49,45,2,0,0,12,7,8,298,0.9033333333333333
1,49,45,2,0,0,12,7,9,298,0.8444444444444444
1,50,45,2,0,0,12,7,10,298,0.82
2,25,29,0,4,6,12,7,1,319,0.3488888888888889
2,25,29,0,4,6,12,7,2,319,0.3488888888888889
2,34,29,1,2,4,12,7,3,526,0.5344444444444445
2,41,29,3,2,4,12,12,4,545,0.6477777777777778
2,46,29,3,2,4,12,12,5,545,0.8122222222222222
2,48,29,3,2,4,12,12,6,545,0.8766666666666667
2,50,29,3,2,4,12,12,7,545,0.8555555555555555
2,51,29,3,2,4,12,12,8,545,0.7588888888888888
2,53,29,3,2,4,12,12,9,545,0.8044444444444444
2,53,29,3,2,4,12,12,10,545,0.8744444444444445
3,25,21,2,2,2,12,2,1,591,0.4766666666666667
3,25,21,2,2,2,12,2,2,591,0.4766666666666667
3,33,21,2,2,2,12,2,3,591,0.8033333333333333
3,36,21,2,2,2,12,2,4,591,0.9066666666666666
3,36,21,2,2,2,12,2,5,591,0.9166666666666666
3,36,21,2,2,2,12,2,6,591,0.9166666666666666
3,36,21,2,2,2,12,2,7,591,0.8877777777777778
3,37,21,2,2,2,12,2,8,591,0.92
3,37,21,2,2,2,12,2,9,591,0.9044444444444445
3,38,21,2,2,2,12,2,10,591,0.9111111111111111
4,25,77,3,0,2,12,7,1,291,0.3711111111111111
4,25,77,3,0,2,12,7,2,291,0.3711111111111111
4,35,37,1,2,2,12,12,3,433,0.5055555555555555
4,45,37,1,2,2,12,12,4,433,0.535
4,52,37,1,2,2,12,12,5,433,0.7955555555555556
4,55,37,1,2,2,12,12,6,433,0.7222222222222222
4,58,21,1,2,2,12,7,7,557,0.725
4,63,21,2,2,2,12,12,8,591,0.8244444444444444
4,65,21,2,2,2,12,12,9,591,0.86
4,67,21,2,2,2,12,12,10,591,0.9044444444444445
5,25,61,3,0,6,12,7,1,297,0.4711111111111111
5,25,61,3,0,6,12,7,2,297,0.4711111111111111
5,33,37,2,0,6,7,7,3,393,0.6072222222222222
5,42,37,2,0,6,7,7,4,393,0.5877777777777777
5,46,37,2,0,6,7,7,5,393,0.85
5,49,37,2,0,6,7,7,6,393,0.8888888888888888
5,52,37,2,0,6,7,7,7,393,0.9277777777777778
5,53,37,2,0,6,7,7,8,393,0.9744444444444444
5,53,37,2,0,6,7,7,9,393,0.9744444444444444
5,53,37,2,0,6,7,7,10,393,0.9744444444444444
6,25,21,2,4,4,12,2,1,388,0.3416666666666667
6,25,21,2,4,4,12,2,2,388,0.3416666666666667
6,35,29,3,2,6,12,12,3,545,0.5933333333333334
6,42,21,3,2,6,12,2,4,557,0.59
6,51,21,2,2,2,12,7,5,591,0.7266666666666667
6,54,21,2,2,2,12,7,6,591,0.8877777777777778
6,56,21,2,2,2,12,7,7,591,0.8355555555555556
6,58,21,2,2,2,12,7,8,591,0.8266666666666667
6,59,21,2,2,2,12,7,9,591,0.8355555555555556
6,61,21,2,2,2,12,7,10,591,0.7877777777777778
7,25,29,2,2,6,12,7,1,545,0.3661111111111111
7,25,29,2,2,6,12,7,2,545,0.3661111111111111
7,37,21,3,2,4,12,12,3,557,0.5572222222222222
7,46,21,2,2,6,12,12,4,591,0.8555555555555555
7,49,21,2,2,6,12,12,5,591,0.7788888888888889
7,51,21,2,2,6,12,12,6,591,0.93
7,51,21,2,2,6,12,12,7,591,1.0
7,51,21,2,2,6,12,12,8,591,0.9511111111111111
7,53,21,2,2,6,12,12,9,591,1.0
7,53,21,2,2,6,12,12,10,591,1.0
8,25,37,0,2,0,12,7,1,447,0.31
8,25,37,0,2,0,12,7,2,447,0.31
8,35,37,0,2,0,12,7,3,447,0.41
8,44,37,0,2,0,12,7,4,447,0.4777777777777778
8,51,37,0,2,0,12,7,5,447,0.8866666666666667
8,53,37,0,2,0,12,7,6,447,0.88
8,54,37,0,2,0,12,7,7,447,0.89
8,54,37,0,2,0,12,7,8,447,0.91
8,54,37,0,2,0,12,7,9,447,0.8877777777777778
8,55,21,0,2,0,12,7,10,546,0.8238888888888889
9,25,37,1,0,6,7,12,1,343,0.3411111111111111
9,25,37,1,0,6,7,12,2,343,0.3411111111111111
9,37,53,2,0,6,7,12,3,345,0.5666666666666667
9,43,37,2,0,0,7,2,4,393,0.6838888888888889
9,45,37,2,0,0,7,2,5,393,0.9144444444444444
9,45,37,2,0,0,7,2,6,393,0.8911111111111111
