assembly_id,numSeqs,n50,smallest,largest,totLen,K,M,d,D,L,e,t,time,gz_size,ut_weight,ut_optimum,ut_max,ut_result,ut_time,brm_weight,brm_optimum,brm_max,brm_time,brm_total,brm_good,brm_bad,brm_paired,brm_unpaired,brm_proper_pair,brm_improper_pair,brm_proper_orientation,brm_improper_orientation,brm_both_mapped,brm_same_contig,brm_realistic,brm_unrealistic,brm_result,rba_weight,rba_optimum,rba_max,rba_time,rba_result,rba_query_hits,rba_target_hits,rba_mean_q_bitscore,rba_mean_t_bitscore
1,2382,168,100,1883,398383,21,0,0,0,200,2,2,55.178896051,132985,1.0,0,2382.0,1913,4.298215468,1.0,0.0,1.0,0.447332647,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.481667399,784,1195,4095,110.136,137.078
2,2382,168,100,1883,398383,21,0,0,0,200,2,7,53.366695678,132985,1.0,0,2382.0,1913,4.392062319,1.0,0.0,1.0,0.44828259,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.644478534,783,1195,4095,110.719,136.128
3,2382,168,100,1883,398383,21,0,0,0,200,2,12,55.30227225,132985,1.0,0,2382.0,1913,4.34629502,1.0,0.0,1.0,0.445265744,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.216991831,784,1195,4095,110.136,137.078
4,272,207,100,1639,55773,21,0,0,0,200,7,2,53.316936596,18874,1.0,0,272.0,201,3.246278074,1.0,0.0,1.0,0.247845153,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.38253523,140,153,461,123.887,152.968
5,272,207,100,1639,55773,21,0,0,0,200,7,7,50.964569544,18874,1.0,0,272.0,201,3.256666446,1.0,0.0,1.0,0.248508323,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.32625971,140,153,461,123.887,152.968
6,272,207,100,1639,55773,21,0,0,0,200,7,12,54.6275142,18874,1.0,0,272.0,201,3.26045062,1.0,0.0,1.0,0.250585615,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.286396343,140,153,461,123.887,152.344
7,171,192,100,1556,33524,21,0,0,0,200,12,2,49.053194451,11540,1.0,0,171.0,128,3.081749195,1.0,0.0,1.0,0.235793697,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.092247457,94,101,302,121.465,152.246
8,171,192,100,1556,33524,21,0,0,0,200,12,7,54.265587078,11540,1.0,0,171.0,128,3.135412256,1.0,0.0,1.0,0.234935783,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,14.007976528,94,101,302,121.465,153.55
9,171,192,100,1556,33524,21,0,0,0,200,12,12,50.716446454,11540,1.0,0,171.0,128,3.095785045,1.0,0.0,1.0,0.235394465,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.142380969,94,101,302,121.465,153.55
10,2382,168,100,1883,398383,21,0,0,0,200,2,2,53.698815864,132986,1.0,0,2382.0,1913,4.378685888,1.0,0.0,1.0,0.439423467,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.457547391,784,1195,4095,110.136,137.078
11,2382,168,100,1883,398383,21,0,0,0,200,2,7,53.829880508,132986,1.0,0,2382.0,1913,4.481264995,1.0,0.0,1.0,0.457402663,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.500735523,784,1195,4096,110.136,137.078
12,2382,168,100,1883,398383,21,0,0,0,200,2,12,52.873897628,132986,1.0,0,2382.0,1913,4.380857104,1.0,0.0,1.0,0.457632313,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,18.787666475,784,1195,4095,110.136,137.078
13,272,207,100,1639,55773,21,0,0,0,200,7,2,49.545780685,18875,1.0,0,272.0,201,3.312358267,1.0,0.0,1.0,0.255440683,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.430325361,140,153,461,123.887,152.968
14,272,207,100,1639,55773,21,0,0,0,200,7,7,48.554458184,18875,1.0,0,272.0,201,3.20481378,1.0,0.0,1.0,0.255049899,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.376334149,140,153,461,123.887,152.968
15,272,207,100,1639,55773,21,0,0,0,200,7,12,52.024189212,18875,1.0,0,272.0,201,3.218748394,1.0,0.0,1.0,0.253900548,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.326785144,140,153,461,123.887,151.738
16,171,192,100,1556,33524,21,0,0,0,200,12,2,51.725756953,11541,1.0,0,171.0,128,3.087881842,1.0,0.0,1.0,0.229702591,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,14.651464874,93,101,302,121.322,152.881
17,171,192,100,1556,33524,21,0,0,0,200,12,7,50.349087879,11541,1.0,0,171.0,128,3.101387937,1.0,0.0,1.0,0.24067837,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.41580047,94,101,302,121.465,153.55
18,171,192,100,1556,33524,21,0,0,0,200,12,12,50.066447534,11541,1.0,0,171.0,128,3.152221209,1.0,0.0,1.0,0.246323348,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.268005884,94,101,302,121.465,153.55
19,2382,168,100,1883,398383,21,0,0,0,200,2,2,47.448157819,132986,1.0,0,2382.0,1913,4.347955069,1.0,0.0,1.0,0.439642582,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.310717199,784,1195,4095,110.136,137.078
20,2382,168,100,1883,398383,21,0,0,0,200,2,7,49.782005422,132986,1.0,0,2382.0,1913,4.379067642,1.0,0.0,1.0,0.456245595,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.677027726,783,1195,4095,110.719,136.128
21,2382,168,100,1883,398383,21,0,0,0,200,2,12,53.678624137,132986,1.0,0,2382.0,1913,4.393436319,1.0,0.0,1.0,0.45804112,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.457452528,784,1195,4095,110.136,137.078
22,272,207,100,1639,55773,21,0,0,0,200,7,2,51.986406639,18875,1.0,0,272.0,201,3.31418864,1.0,0.0,1.0,0.251184101,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.622175854,140,153,461,123.887,152.968
23,272,207,100,1639,55773,21,0,0,0,200,7,7,50.674434153,18875,1.0,0,272.0,201,3.268566257,1.0,0.0,1.0,0.261369382,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.521899136,140,153,461,123.887,152.968
24,272,207,100,1639,55773,21,0,0,0,200,7,12,52.187307432,18875,1.0,0,272.0,201,3.244269612,1.0,0.0,1.0,0.258330206,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.513654791,140,153,461,123.887,152.968
25,171,192,100,1556,33524,21,0,0,0,200,12,2,47.684887341,11541,1.0,0,171.0,128,3.152148064,1.0,0.0,1.0,0.242266067,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.19762034,94,101,302,121.465,152.886
26,171,192,100,1556,33524,21,0,0,0,200,12,7,48.40790844,11541,1.0,0,171.0,128,3.084485664,1.0,0.0,1.0,0.239987572,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.175200932,94,101,302,121.465,153.55
27,171,192,100,1556,33524,21,0,0,0,200,12,12,50.496186652,11541,1.0,0,171.0,128,3.14860946,1.0,0.0,1.0,0.240496673,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.243398097,94,101,302,121.465,152.886
28,2382,168,100,1883,398383,21,0,0,2,200,2,2,52.799256259,132986,1.0,0,2382.0,1913,4.380508889,1.0,0.0,1.0,0.449119272,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.341786292,783,1195,4095,110.719,136.128
29,2382,168,100,1883,398383,21,0,0,2,200,2,7,51.383752122,132986,1.0,0,2382.0,1913,4.363579895,1.0,0.0,1.0,0.448233333,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.540296171,784,1195,4095,110.136,137.078
30,2382,168,100,1883,398383,21,0,0,2,200,2,12,51.179810191,132986,1.0,0,2382.0,1913,4.38439098,1.0,0.0,1.0,0.452517623,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.410036384,784,1195,4095,110.136,137.078
31,272,207,100,1639,55773,21,0,0,2,200,7,2,49.167553639,18875,1.0,0,272.0,201,3.327142906,1.0,0.0,1.0,0.246932596,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.41572031,141,153,461,126.205,150.206
32,272,207,100,1639,55773,21,0,0,2,200,7,7,45.656999316,18875,1.0,0,272.0,201,3.239506967,1.0,0.0,1.0,0.251491941,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.509183894,140,153,461,123.887,152.272
33,272,207,100,1639,55773,21,0,0,2,200,7,12,48.666887967,18875,1.0,0,272.0,201,3.298711019,1.0,0.0,1.0,0.258189728,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.573546307,140,153,461,123.887,152.272
34,171,192,100,1556,33524,21,0,0,2,200,12,2,48.862399991,11541,1.0,0,171.0,128,3.122257742,1.0,0.0,1.0,0.242052777,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.171636489,94,101,302,121.465,153.55
35,171,192,100,1556,33524,21,0,0,2,200,12,7,50.883399838,11541,1.0,0,171.0,128,3.167469003,1.0,0.0,1.0,0.234410454,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.6151333,94,101,302,121.465,153.55
36,171,192,100,1556,33524,21,0,0,2,200,12,12,50.402006143,11541,1.0,0,171.0,128,3.135687175,1.0,0.0,1.0,0.232982779,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.295009579,94,101,302,121.465,152.886
37,2382,168,100,1883,398383,21,0,0,2,200,2,2,48.340826587,132986,1.0,0,2382.0,1913,4.38498783,1.0,0.0,1.0,0.456787837,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.455498904,784,1195,4095,110.136,137.078
38,2382,168,100,1883,398383,21,0,0,2,200,2,7,49.720146906,132986,1.0,0,2382.0,1913,4.417451272,1.0,0.0,1.0,0.45804259,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.506245407,784,1195,4095,110.136,137.078
39,2382,168,100,1883,398383,21,0,0,2,200,2,12,49.749817751,132986,1.0,0,2382.0,1913,4.410741281,1.0,0.0,1.0,0.449021496,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,18.895060372,784,1195,4095,110.136,136.98
40,272,207,100,1639,55773,21,0,0,2,200,7,2,49.480648144,18875,1.0,0,272.0,201,3.253832517,1.0,0.0,1.0,0.25537589,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.379843847,140,153,461,123.887,152.272
41,272,207,100,1639,55773,21,0,0,2,200,7,7,48.992766171,18875,1.0,0,272.0,201,3.275734362,1.0,0.0,1.0,0.253196138,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.368698747,140,153,461,123.887,151.648
42,272,207,100,1639,55773,21,0,0,2,200,7,12,49.926229377,18875,1.0,0,272.0,201,3.310070068,1.0,0.0,1.0,0.25763364,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.326218229,140,153,461,123.887,152.344
43,171,192,100,1556,33524,21,0,0,2,200,12,2,48.042999823,11541,1.0,0,171.0,128,3.11310835,1.0,0.0,1.0,0.23274177,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.143099107,94,101,302,121.465,153.55
44,171,192,100,1556,33524,21,0,0,2,200,12,7,47.193418347,11541,1.0,0,171.0,128,3.049601284,1.0,0.0,1.0,0.233500105,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.218200357,93,101,302,121.599,149.875
45,171,192,100,1556,33524,21,0,0,2,200,12,12,49.798458677,11541,1.0,0,171.0,128,3.10710471,1.0,0.0,1.0,0.240145247,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.361087518,94,101,302,121.465,152.886
46,2382,168,100,1883,398383,21,0,0,2,200,2,2,48.866738376,132986,1.0,0,2382.0,1913,4.345574804,1.0,0.0,1.0,0.449975602,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.364157885,792,1195,4096,110.243,136.854
47,2382,168,100,1883,398383,21,0,0,2,200,2,7,51.676852737,132986,1.0,0,2382.0,1913,4.386942709,1.0,0.0,1.0,0.460091836,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.369912037,784,1195,4095,110.136,137.078
48,2382,168,100,1883,398383,21,0,0,2,200,2,12,48.65400614,132986,1.0,0,2382.0,1913,4.349484527,1.0,0.0,1.0,0.450094435,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.356322156,784,1195,4095,110.136,137.078
49,272,207,100,1639,55773,21,0,0,2,200,7,2,47.442635457,18875,1.0,0,272.0,201,3.276316469,1.0,0.0,1.0,0.259424669,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.514190622,140,153,461,123.887,152.968
50,272,207,100,1639,55773,21,0,0,2,200,7,7,47.17488029,18875,1.0,0,272.0,201,3.269262473,1.0,0.0,1.0,0.24299147,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.448346102,140,153,461,123.887,152.344
51,272,207,100,1639,55773,21,0,0,2,200,7,12,49.741961742,18875,1.0,0,272.0,201,3.361344358,1.0,0.0,1.0,0.248301698,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.303853931,140,153,461,123.887,150.742
52,171,192,100,1556,33524,21,0,0,2,200,12,2,48.475716638,11541,1.0,0,171.0,128,3.082792766,1.0,0.0,1.0,0.243230477,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.39395501,94,101,302,121.465,153.55
53,171,192,100,1556,33524,21,0,0,2,200,12,7,49.686632585,11541,1.0,0,171.0,128,3.236795371,1.0,0.0,1.0,0.232676087,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.395391703,94,101,302,121.465,153.55
54,171,192,100,1556,33524,21,0,0,2,200,12,12,48.899190975,11541,1.0,0,171.0,128,3.123589828,1.0,0.0,1.0,0.239568479,12899,12898,0,12898,0,12898,0,12898,0,0,0,0,0,0,1.0,26000,26000.0,13.256523614,95,101,302,124.841,148.698
55,2382,168,100,1883,398383,21,0,0,4,200,2,2,47.956105208,132986,1.0,0,2382.0,1913,4.381399835,1.0,0.0,1.0,0.450406289,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.390018021,784,1195,4096,110.136,137.078
56,2382,168,100,1883,398383,21,0,0,4,200,2,7,49.75100092,132986,1.0,0,2382.0,1913,4.385630676,1.0,0.0,1.0,0.455110551,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,18.517673349,784,1195,4095,110.136,137.078
57,2382,168,100,1883,398383,21,0,0,4,200,2,12,51.061217623,132986,1.0,0,2382.0,1913,4.358950534,1.0,0.0,1.0,0.451096817,28783,28782,0,28782,0,28782,0,28782,0,0,0,0,0,0,1.0,26000,26000.0,17.45431276,784,1195,4095,110.136,136.996
58,272,207,100,1639,55773,21,0,0,4,200,7,2,49.032399836,18875,1.0,0,272.0,201,3.273121614,1.0,0.0,1.0,0.25571066,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.367863334,140,153,461,123.887,152.344
59,272,207,100,1639,55773,21,0,0,4,200,7,7,48.52291341,18875,1.0,0,272.0,201,3.259613066,1.0,0.0,1.0,0.251030793,16240,16239,0,16239,0,16239,0,16239,0,0,0,0,0,0,1.0,26000,26000.0,14.38914309,140,153,461,123.887,152.272
