"K","M","d","D","e","t","n50"
21,0,0,0,2,2,168
21,0,0,0,2,7,168
21,0,0,0,2,12,168
21,0,0,0,7,2,207
21,0,0,0,7,7,207
21,0,0,0,7,12,207
21,0,0,0,12,2,192
21,0,0,0,12,7,192
21,0,0,0,12,12,192
21,0,0,0,2,2,168
21,0,0,0,2,7,168
21,0,0,0,2,12,168
21,0,0,0,7,2,207
21,0,0,0,7,7,207
21,0,0,0,7,12,207
21,0,0,0,12,2,192
21,0,0,0,12,7,192
21,0,0,0,12,12,192
21,0,0,0,2,2,168
21,0,0,0,2,7,168
21,0,0,0,2,12,168
21,0,0,0,7,2,207
21,0,0,0,7,7,207
21,0,0,0,7,12,207
21,0,0,0,12,2,192
21,0,0,0,12,7,192
21,0,0,0,12,12,192
21,0,0,2,2,2,168
21,0,0,2,2,7,168
21,0,0,2,2,12,168
21,0,0,2,7,2,207
21,0,0,2,7,7,207
21,0,0,2,7,12,207
21,0,0,2,12,2,192
21,0,0,2,12,7,192
21,0,0,2,12,12,192
21,0,0,2,2,2,168
21,0,0,2,2,7,168
21,0,0,2,2,12,168
21,0,0,2,7,2,207
21,0,0,2,7,7,207
21,0,0,2,7,12,207
21,0,0,2,12,2,192
21,0,0,2,12,7,192
21,0,0,2,12,12,192
21,0,0,2,2,2,168
21,0,0,2,2,7,168
21,0,0,2,2,12,168
21,0,0,2,7,2,207
21,0,0,2,7,7,207
21,0,0,2,7,12,207
21,0,0,2,12,2,192
21,0,0,2,12,7,192
21,0,0,2,12,12,192
21,0,0,4,2,2,168
21,0,0,4,2,7,168
21,0,0,4,2,12,168
21,0,0,4,7,2,207
21,0,0,4,7,7,207
21,0,0,4,7,12,207
21,0,0,4,12,2,192
21,0,0,4,12,7,192
21,0,0,4,12,12,192
21,0,0,4,2,2,168
21,0,0,4,2,7,168
21,0,0,4,2,12,168
21,0,0,4,7,2,207
21,0,0,4,7,7,207
21,0,0,4,7,12,207
21,0,0,4,12,2,192
21,0,0,4,12,7,192
21,0,0,4,12,12,192
21,0,0,4,2,2,168
21,0,0,4,2,7,168
21,0,0,4,2,12,168
21,0,0,4,7,2,207
21,0,0,4,7,7,207
21,0,0,4,7,12,207
21,0,0,4,12,2,192
21,0,0,4,12,7,192
21,0,0,4,12,12,192
21,0,0,6,2,2,168
21,0,0,6,2,7,168
21,0,0,6,2,12,168
21,0,0,6,7,2,207
21,0,0,6,7,7,207
21,0,0,6,7,12,207
21,0,0,6,12,2,192
21,0,0,6,12,7,192
21,0,0,6,12,12,192
21,0,0,6,2,2,168
21,0,0,6,2,7,168
21,0,0,6,2,12,168
21,0,0,6,7,2,207
21,0,0,6,7,7,207
21,0,0,6,7,12,207
21,0,0,6,12,2,192
21,0,0,6,12,7,192
21,0,0,6,12,12,192
21,0,0,6,2,2,168
21,0,0,6,2,7,168
21,0,0,6,2,12,168
21,0,0,6,7,2,207
21,0,0,6,7,7,207
21,0,0,6,7,12,207
21,0,0,6,12,2,192
21,0,0,6,12,7,192
21,0,0,6,12,12,192
21,0,2,0,2,2,150
21,0,2,0,2,7,150
21,0,2,0,2,12,150
21,0,2,0,7,2,296
21,0,2,0,7,7,296
21,0,2,0,7,12,296
21,0,2,0,12,2,546
21,0,2,0,12,7,546
21,0,2,0,12,12,546
21,0,2,0,2,2,150
21,0,2,0,2,7,150
21,0,2,0,2,12,150
21,0,2,0,7,2,296
21,0,2,0,7,7,296
21,0,2,0,7,12,296
21,0,2,0,12,2,546
21,0,2,0,12,7,546
21,0,2,0,12,12,546
21,0,2,0,2,2,150
21,0,2,0,2,7,150
21,0,2,0,2,12,150
21,0,2,0,7,2,296
21,0,2,0,7,7,296
21,0,2,0,7,12,296
21,0,2,0,12,2,546
21,0,2,0,12,7,546
21,0,2,0,12,12,546
21,0,2,2,2,2,150
21,0,2,2,2,7,150
21,0,2,2,2,12,150
21,0,2,2,7,2,296
21,0,2,2,7,7,296
21,0,2,2,7,12,296
21,0,2,2,12,2,546
21,0,2,2,12,7,546
21,0,2,2,12,12,546
21,0,2,2,2,2,150
21,0,2,2,2,7,150
21,0,2,2,2,12,150
21,0,2,2,7,2,296
