assembly_id,numSeqs,n50,smallest,largest,totLen,K,M,d,D,L,e,t,time,gz_size,ut_weight,ut_optimum,ut_max,ut_result,ut_time,brm_weight,brm_optimum,brm_max,brm_time,brm_total,brm_good,brm_bad,brm_paired,brm_unpaired,brm_proper_pair,brm_improper_pair,brm_proper_orientation,brm_improper_orientation,brm_both_mapped,brm_same_contig,brm_realistic,brm_unrealistic,brm_result,rba_weight,rba_optimum,rba_max,rba_time,rba_result,rba_query_hits,rba_target_hits,rba_mean_q_bitscore,rba_mean_t_bitscore
4321,1122,191,111,1658,222466,37,2,0,0,200,2,2,29.043358752,73401,1.0,0,1122.0,817,4.201432225,1.0,26000,26000.0,22.60883119,681,667,2139,106.974,139.081,1.0,0.0,1.0,0.396776401,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4322,1122,191,111,1658,222466,37,2,0,0,200,2,7,31.109711035,73401,1.0,0,1122.0,817,4.256632858,1.0,26000,26000.0,22.841375628,678,667,2138,106.014,139.169,1.0,0.0,1.0,0.340183036,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4323,1122,191,111,1658,222466,37,2,0,0,200,2,12,33.443718258,73401,1.0,0,1122.0,817,4.179504141,1.0,26000,26000.0,22.383211658,680,667,2138,106.135,137.941,1.0,0.0,1.0,0.34768243,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4324,176,393,111,1556,49442,37,2,0,0,200,7,2,31.829584622,16440,1.0,0,176.0,103,3.472262904,1.0,26000,26000.0,19.857911412,112,109,437,152.344,191.863,1.0,0.0,1.0,0.198769421,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4325,176,393,111,1556,49442,37,2,0,0,200,7,7,31.169691826,16440,1.0,0,176.0,103,3.199406351,1.0,26000,26000.0,20.286781416,112,109,437,152.344,189.336,1.0,0.0,1.0,0.191816296,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4326,176,393,111,1556,49442,37,2,0,0,200,7,12,31.822695138,16440,1.0,0,176.0,103,3.208177725,1.0,26000,26000.0,20.574796049,112,109,437,152.344,190.397,1.0,0.0,1.0,0.198510558,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4327,103,256,111,1556,26592,37,2,0,0,200,12,2,26.84832692,8977,1.0,0,103.0,46,2.49906297,1.0,26000,26000.0,18.209336322,69,66,279,143.258,175.678,1.0,0.0,1.0,0.210827211,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4328,103,256,111,1556,26592,37,2,0,0,200,12,7,32.582447082,8977,1.0,0,103.0,46,2.504935914,1.0,26000,26000.0,18.312718795,69,66,279,143.258,163.241,1.0,0.0,1.0,0.181760558,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4329,103,256,111,1556,26592,37,2,0,0,200,12,12,30.641988359,8977,1.0,0,103.0,46,2.615419596,1.0,26000,26000.0,18.859076232,69,66,279,143.258,175.678,1.0,0.0,1.0,0.179375954,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4330,1122,191,111,1658,222466,37,2,0,0,200,2,2,31.149561025,73401,1.0,0,1122.0,817,4.389562247,1.0,26000,26000.0,23.226507601,683,667,2139,107.025,139.737,1.0,0.0,1.0,0.349093216,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4331,1122,191,111,1658,222466,37,2,0,0,200,2,7,31.21178814,73401,1.0,0,1122.0,817,4.223500988,1.0,26000,26000.0,24.310887906,683,667,2138,107.025,140.88,1.0,0.0,1.0,0.34870871,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4332,1122,191,111,1658,222466,37,2,0,0,200,2,12,31.592487287,73401,1.0,0,1122.0,817,4.308468229,1.0,26000,26000.0,23.464486973,680,667,2138,106.135,139.795,1.0,0.0,1.0,0.341014799,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4333,176,393,111,1556,49442,37,2,0,0,200,7,2,26.353504305,16440,1.0,0,176.0,103,3.365701626,1.0,26000,26000.0,20.275739752,113,109,438,155.134,192.619,1.0,0.0,1.0,0.194215816,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4334,176,393,111,1556,49442,37,2,0,0,200,7,7,31.425458523,16440,1.0,0,176.0,103,3.483912802,1.0,26000,26000.0,19.904945882,113,109,437,154.548,187.682,1.0,0.0,1.0,0.244425286,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4335,176,393,111,1556,49442,37,2,0,0,200,7,12,31.720974251,16440,1.0,0,176.0,103,3.60395293,1.0,26000,26000.0,19.849240716,112,109,437,152.344,192.682,1.0,0.0,1.0,0.191700731,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4336,103,256,111,1556,26592,37,2,0,0,200,12,2,30.803343076,8977,1.0,0,103.0,46,2.69312177,1.0,26000,26000.0,18.168386658,69,66,279,143.258,174.925,1.0,0.0,1.0,0.201820143,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4337,103,256,111,1556,26592,37,2,0,0,200,12,7,31.211945975,8977,1.0,0,103.0,46,2.518775546,1.0,26000,26000.0,19.43089032,69,66,279,143.258,174.617,1.0,0.0,1.0,0.282230077,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4338,103,256,111,1556,26592,37,2,0,0,200,12,12,30.284533521,8977,1.0,0,103.0,46,2.790964299,1.0,26000,26000.0,18.702496038,69,66,280,143.258,175.678,1.0,0.0,1.0,0.202477559,14124,14124,0,14124,0,14124,0,14124,0,0,0,0,0,0
4339,1122,191,111,1658,222466,37,2,0,0,200,2,2,29.029378421,73401,1.0,0,1122.0,817,25.584709755,1.0,26000,26000.0,28.107007472,682,667,2138,106.188,140.526,1.0,0.0,1.0,0.343407564,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4340,1122,191,111,1658,222466,37,2,0,0,200,2,7,31.098784696,73401,1.0,0,1122.0,817,4.401252676,1.0,26000,26000.0,24.577382848,681,667,2139,106.939,138.969,1.0,0.0,1.0,0.449599569,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4341,1122,191,111,1658,222466,37,2,0,0,200,2,12,32.054129924,73401,1.0,0,1122.0,817,4.22673764,1.0,26000,26000.0,23.781135969,680,667,2138,106.135,138.677,1.0,0.0,1.0,0.34556167,29539,29538,0,29538,0,29538,0,29538,0,0,0,0,0,0
4342,176,393,111,1556,49442,37,2,0,0,200,7,2,31.259661165,16440,1.0,0,176.0,103,3.799958418,1.0,26000,26000.0,20.035073247,116,109,437,150.828,193.309,1.0,0.0,1.0,0.189461088,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
4343,176,393,111,1556,49442,37,2,0,0,200,7,7,30.910158639,16440,1.0,0,176.0,103,3.331835347,1.0,26000,26000.0,20.269939193,112,109,438,152.344,191.529,1.0,0.0,1.0,0.193393599,18959,18958,0,18958,0,18958,0,18958,0,0,0,0,0,0
